,title,company,salary,summary
96,Frontend Developer - React / Typescript,Insify,,"Commercial insurance needs to change.You have a strong focus on test-first and quality.Permanent full-time position, competitive salary."
97,Sr. frontend software developer,vamp,,"Without good frontend code, neither the backend nor the visual design will stand a chance.Experience in building Application pages with React/Angular/Insert a…"
98,Fullstack Developer,IQVIA,,You have 4+ years of experience in the field of software development.Most health data is entered as text into the Electronic Health Record (EHR) and their…
99,nieuwFull Stack Developer at PwC’s Experience Center,PwC,,You have successfully completed relevant bachelor or master level education (such as Computer Science) and at least 3 to 5 years of experience in software…
100,Back end developer,StarApple,€4.000 - €5.500 per maand,Jij als senior PHP ontwikkelaar komt te werken in 1 van onze SCRUM teams.Momenteel werken er zo’n 30 developers binnen onze organisatie Jij gaat de brug zijn…
101,Front End Developer,CM.com,,"This is a complex and not so user friendly interface, therefore, any knowledge of UX is also very welcome.We enable a lot of freedom, support and guidance for…"
102,Python Developer,ilionx,,30 Amsterdamse developers kunnen zich niets mooiers voorstellen dan geweldige applicaties maken voor onze klanten en daar zelf veel van opsteken.
103,Backend Developer,Zanders,,3-5 years of relevant work experience as a software developer.You will be responsible for maintaining and improving the backend code based on the latest…
104,Frontend Developer,LTP Business Psychologists,,Writing reusable frontend components in ES6 using React.Translating designs to responsive web pages or components.Working towards quality and beauty in code.
105,Frontend web developer,DTT Multimedia,,"Bij DTT werk je in een jong en getalenteerd product team bestaande uit Web, iOS, Android en Unity developers.Minimaal mbo werk- en/of denkniveau."
106,Medior Front-end Developer,InnSpire,€4.000 - €10.000 per maand,"Je werkt samen met Product Owners, Scrum Masters en collega developers om de organisatie stappen voorwaarts te laten zetten."
107,Software and Unity Developer,Stamhuis,,As a Software and Unity Developer you will work on different projects using Unity3D.You will be working on a custom location tracking system similar to the HTC…
108,Frontend developer,Reversed Digital,,Check onze cases om te zien aan wat voor projecten je mogelijk gaat bijdragen.Bekijk onze vacatures voor concrete voordelen per rol.
109,Front End Developer,CarNext.com,,"4+ years software development in multiple environments.BS - Computer Science, Computer Engineering or a software related discipline.2+ years working in React."
110,Back-end developer,Bitonic,,"In april 2012 is Bitonic als eerste in Nederland gestart met het (geautomatiseerd) aanbieden van bitcoins via iDEAL.Docker, Saltstack, Ansible en Git(lab)."
111,Front-end Developer – React,Dept,,Have at least 5 years of experience at a digital agency or a project based company;Have experience or are an expert in React;
